
WARNING | Tue Apr 16 16:00:14 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Tue Apr 16 16:00:14 2024 | July | selectOneVideo():: mysqlQuery(SELECT * FROM tb_video WHERE v_id=1;) failed! | dataManage.hpp:213
WARNING | Wed Apr 17 01:39:27 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Wed Apr 17 01:39:27 2024 | July | selectOneVideo():: mysqlQuery(SELECT * FROM tb_video WHERE v_id=1;) failed! | dataManage.hpp:213
WARNING | Wed Apr 17 08:56:26 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Wed Apr 17 08:56:26 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Thu Apr 18 16:02:41 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Thu Apr 18 16:02:41 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Sat Apr 20 12:12:30 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Sat Apr 20 12:12:30 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Wed Apr 24 23:41:40 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Wed Apr 24 23:41:40 2024 | July | selectOneVideo():: mysqlQuery(SELECT * FROM tb_video WHERE v_id=1;) failed! | dataManage.hpp:213
WARNING | Thu Apr 25 01:32:04 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Thu Apr 25 01:32:04 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Sat Apr 27 18:50:39 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Sat Apr 27 18:50:39 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Wed May  1 12:33:23 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Wed May  1 12:33:23 2024 | July | selectOneVideo():: mysqlQuery(SELECT * FROM tb_video WHERE v_id=1;) failed! | dataManage.hpp:213
WARNING | Sun May  5 09:55:19 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Sun May  5 09:55:19 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Sun May  5 19:07:59 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Sun May  5 19:07:59 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Mon May  6 16:38:33 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Mon May  6 16:38:33 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Wed May  8 17:38:47 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Wed May  8 17:38:47 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Thu May  9 00:03:53 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Thu May  9 00:03:53 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Sat May 18 15:00:57 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Sat May 18 15:00:57 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
NOTICE | Sat May 18 16:06:15 2024 | July | mysqlInit():: get mysql handler success! | dataManage.hpp:25
NOTICE | Sat May 18 16:06:15 2024 | July | mysqlInit():: connect mysql server success! | dataManage.hpp:34
NOTICE | Sat May 18 16:06:15 2024 | July | mysqlInit():: mysql client set character success! | dataManage.hpp:42
WARNING | Sat May 18 16:06:30 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon May 20 00:07:32 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue May 21 11:11:32 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue May 21 21:07:23 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Fri May 24 08:36:51 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat May 25 18:02:23 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
NOTICE | Mon May 27 15:38:01 2024 | July | mysqlInit():: get mysql handler success! | dataManage.hpp:25
NOTICE | Mon May 27 15:38:01 2024 | July | mysqlInit():: connect mysql server success! | dataManage.hpp:34
NOTICE | Mon May 27 15:38:01 2024 | July | mysqlInit():: mysql client set character success! | dataManage.hpp:42
WARNING | Fri May 31 15:00:33 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun  1 20:21:39 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jun  5 12:57:23 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jun  7 05:04:41 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
